projectid	pg_ebook_number	state	title	author	pages_total
projectID6955e9dcb9a72	78974	proj_submit_pgposted	Whalers and whaling	Chatterton, E. Keble	256
projectID69565d996c992	79093	proj_submit_pgposted	Cape Cod; its people and their history	Kittredge, Henry Crocker	387
projectID6957f7c485523	78762	proj_submit_pgposted	Van Zorn	Robinson, Edwin Arlington	181
projectID6959abf4bf0d2	78689	proj_submit_pgposted	The contrast (vol. 2 of 3)	Phipps, Constantine Henry	259
projectID695e94315f018	79283	proj_submit_pgposted	Mata Hari	Coulson, Thomas	325
projectID6966120ed7220	78709	proj_submit_pgposted	Jack Brag (vol. 2 of 3)	Hook, Theodore Edward	328
projectID696ec323e8d3b	78690	proj_submit_pgposted	The contrast (vol. 3 of 3)	Phipps, Constantine Henry	249
projectID697ac260ab94f	78878	proj_submit_pgposted	Jack Brag (vol. 3 of 3)	Hook, Theodore Edward	340
projectID697ebb2e82418	78733	proj_submit_pgposted	The master of destiny: a biography of the brain	Tilney, Frederick	357
projectID6982598c1983a	79210	proj_submit_pgposted	Miss Mole	Young, E.H.	352
projectID6993392fab3b5	78823	proj_submit_pgposted	The French powder mystery	Queen, Ellery	332
projectID6994d12c64940	79229	proj_submit_pgposted	Garram the hunter: a boy of the hill tribes	Herbert Best	344
projectID69a35d0517954	78913	proj_submit_pgposted	The rise and fall of the mustache	Burdette, Robert J.	349
projectID69a663dbc6925	79080	proj_submit_pgposted	Curiosa mathematica, part II: pillow-problems thought out during wakeful hours {F2 skipped}	Dodgson, Charles Lutwidge	135
projectID69a7ae84cf684	78743	proj_submit_pgposted	Harmonium	Stevens, Wallace	140
projectID69bd67857b182	78664	proj_submit_pgposted	The adventures of Pony Dexter	Cheever, Harriet A. (Anna)	96
projectID69c1524e674df	79196	proj_submit_pgposted	Robert Louis Stevenson reader	Bryce, Catherine T.	96
projectID69c2fb9ce6d62	79370	proj_submit_pgposted	Ryzon Baking Book (1917)	Neil, Marion Harris	134
projectID69c56eaa8a1f7	79345	proj_submit_pgposted	Stories of adventure	Hale, Edward E. (Everett)	356
projectID69c9c049c1152	79388	proj_submit_pgposted	The two brothers (vol. 1 of 3)	Ponsonby, Emily Charlotte Mary	314
projectID69d16553de4c9	78969	proj_submit_pgposted	A lovers' tale	Hewlett, Maurice	310
projectID69dc3c30e756b	79389	proj_submit_pgposted	The two brothers (vol. 2 of 3)	Ponsonby, Emily Charlotte Mary	280
projectID69e49aa46fcfd	79390	proj_submit_pgposted	The two brothers (vol. 3 of 3)	Ponsonby, Emily Charlotte Mary	280
projectID69f0ec8ac1275	79327	proj_submit_pgposted	French fairy tales	Cary, M.	308
projectID69f9e7a7d2536	79351	proj_submit_pgposted	Naked Holiday	Elliott, Don	195
projectID69f9e8f48c14c	79382	proj_submit_pgposted	Party girl	Elliott, Don	195
projectID69fc028942c44	79181	proj_submit_pgposted	Chemistry: developed by facts and principles drawn chiefly from the non-metals	Appleton, John Howard	262
